"dimension" "Birth" "Death"
"1" 0 0 Inf
"2" 0 0 482.944157
"3" 0 0 394.922332249999
"4" 0 0 482.741562500001
"5" 0 0 372.038404500001
"6" 0 0 433.698852500001
"7" 0 0 415.838730499996
"8" 0 0 306.803597000001
"9" 0 0 429.357878499999
"10" 0 0 577.496296000001
"11" 0 0 358.839271249999
"12" 0 0 526.407906500002
"13" 0 0 480.71558125
"14" 0 0 303.776032500002
"15" 0 0 379.456086499999
"16" 0 0 522.17889125
"17" 0 0 440.438400000002
"18" 0 0 400.113786500002
"19" 0 0 521.478817000002
"20" 0 0 380.819720499999
"21" 1 464.888569999998 552.491015032602
"22" 1 478.171216249997 612.612715811125
"23" 1 484.825392250002 738.404272277228
"24" 1 528.726471999999 782.171789533828
"25" 1 561.264391249997 575.502379516615
"26" 1 596.803704250002 641.50917875952
"27" 1 614.152656499999 619.833757643298
"28" 1 627.708376250002 716.13121106063
"29" 1 648.401931249998 915.752586795577
"30" 1 652.023992499998 681.099119280292
"31" 1 652.65587825 767.697505947881
"32" 1 679.56193125 929.680324999714
"33" 1 714.580529000002 751.12744382971
"34" 1 720.83135825 797.188057125474
"35" 1 725.551245249997 728.496880620255
"36" 1 761.432463999998 794.626156791478
"37" 1 792.073393000001 830.577494848525
"38" 1 795.311202249994 840.2008337477
"39" 1 816.01453125 884.266563614879
"40" 1 922.181114499999 954.98128813868
"41" 1 930.9509065 1080.76726464613
"42" 1 1328.8587385 1349.09183781128
"43" 1 1426.42985225 1479.80282234302
