"dimension" "Birth" "Death"
"1" 0 0 Inf
"2" 0 0 325.621657000001
"3" 0 0 484.321702499998
"4" 0 0 411.680677249998
"5" 0 0 376.461679250001
"6" 0 0 257.410165
"7" 0 0 343.121178500002
"8" 0 0 382.732836250002
"9" 0 0 527.347876250001
"10" 0 0 442.175920250001
"11" 0 0 334.576449
"12" 0 0 372.453493000001
"13" 0 0 461.321406250003
"14" 0 0 430.903235250001
"15" 0 0 441.881936499998
"16" 0 0 358.011781249998
"17" 0 0 395.653294249996
"18" 0 0 422.07877225
"19" 0 0 449.243222499999
"20" 0 0 452.182812499999
"21" 0 0 413.686569250003
"22" 0 0 342.823563249997
"23" 0 0 431.281768249997
"24" 0 0 322.475107999999
"25" 0 0 346.369561249998
"26" 0 0 360.91225525
"27" 0 0 433.01402125
"28" 0 0 436.1568965
"29" 0 0 412.659040249999
"30" 0 0 319.777092500001
"31" 0 0 428.000929250001
"32" 0 0 394.103011999998
"33" 0 0 342.243480500001
"34" 0 0 345.907442499999
"35" 0 0 387.11626225
"36" 0 0 404.437331249999
"37" 0 0 341.464177
"38" 0 0 185.789672499999
"39" 0 0 376.788882499999
"40" 0 0 488.673844249998
"41" 0 0 363.3644005
"42" 0 0 419.219772499997
"43" 0 0 470.153377250003
"44" 0 0 498.637479250001
"45" 0 0 359.961472250001
"46" 0 0 413.765585000004
"47" 0 0 409.4883425
"48" 0 0 385.458192250001
"49" 0 0 314.39258825
"50" 0 0 207.879477249999
"51" 0 0 377.875227250001
"52" 0 0 514.791536500002
"53" 0 0 227.794924999999
"54" 0 0 223.11142025
"55" 0 0 283.96848325
"56" 0 0 425.458462500002
"57" 0 0 358.018144249997
"58" 0 0 359.829011250003
"59" 0 0 357.581281000001
"60" 0 0 521.314491250001
"61" 0 0 395.296274499999
"62" 0 0 383.00440225
"63" 0 0 540.248941250001
"64" 0 0 420.018258249999
"65" 0 0 381.392500249999
"66" 1 394.071792500003 423.686639752206
"67" 1 435.593344250003 563.814631705125
"68" 1 451.452262499999 726.032490309968
"69" 1 463.60058625 857.219767505597
"70" 1 469.033131249998 733.891691211567
"71" 1 469.709362249999 494.642267153742
"72" 1 469.80111125 852.693123600335
"73" 1 480.109169250001 559.056782534287
"74" 1 484.148862500001 1053.70775762912
"75" 1 488.100834 630.94664843747
"76" 1 489.315466250003 619.531415964039
"77" 1 489.816720000001 745.619269348676
"78" 1 491.100740500001 605.123419442061
"79" 1 492.009842000002 549.518348398794
"80" 1 492.474241249997 543.37368505903
"81" 1 493.904791250004 563.385130574515
"82" 1 494.733842499998 805.505787401689
"83" 1 499.403356250003 785.891601029445
"84" 1 500.238505000003 827.390356113585
"85" 1 505.011904999995 580.013403995835
"86" 1 511.155836500002 706.418791292935
"87" 1 515.26095925 780.961544195454
"88" 1 520.968770499999 949.732035589267
